date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted,GDP_dollar,GDP_local
1/1/2022,ARE,AED,United Arab Emirates,17,3.67305,4.628306176,-0.08169,-0.0659,-0.03908,0.36743,0.20741,46691.25315,4.190656336,0.02265,-0.09198,-0.03192,0.4302,0.02344,42883.686,157490.338
1/1/2022,ARG,ARS,Argentina,450,105.0165,4.285040922,-0.14979,-0.13518,-0.11035,0.26601,0.11786,11351.73171,3.444161763,0.15202,0.02288,0.09054,0.61112,0.1529,10658.458,1013547.474
1/1/2022,AUS,AUD,Australia,6.4,1.419345682,4.509119999,-0.10533,-0.08995,-0.06382,0.33221,0.17632,66547.87493,4.610097795,-0.09433,-0.19585,-0.14266,0.2666,-0.09364,63529.289,84505.238
1/1/2022,AZE,AZN,Azerbaijan,4.5,1.699,2.648616833,-0.47448,-0.46545,-0.4501,-0.21747,-0.30904,10277.65536,3.421473505,-0.28321,-0.36356,-0.32146,0.00245,-0.28266,5397.928,9176.478
1/1/2022,BHR,BHD,Bahrain,1.5,0.377,3.978779841,-0.21056,-0.19699,-0.17393,0.17553,0.03796,33018.89472,3.901848199,-0.05579,-0.16164,-0.10618,0.32049,-0.05507,26135.777,9827.052
1/1/2022,BRA,BRL,Brazil,22.9,5.31,4.312617702,-0.14432,-0.12961,-0.10462,0.27416,0.12505,8984.791714,3.394163693,0.17651,0.04463,0.11373,0.64537,0.17741,7563.562,40823.756
1/1/2022,CAN,CAD,Canada,6.77,1.2718,5.323164019,0.05618,0.07434,0.10519,0.57272,0.38868,48613.32893,4.231257315,0.1649,0.03432,0.10274,0.62913,0.16579,52078.515,65300.047
1/1/2022,CHE,CHF,Switzerland,6.5,0.93105,6.981365125,0.38519,0.409,0.44946,1.06264,0.82126,66408.27596,4.607148975,0.40312,0.24584,0.32825,0.9623,0.4042,93719.959,85645.594
1/1/2022,CHL,CLP,Chile,3100,798.6,3.881793138,-0.2298,-0.21656,-0.19407,0.14687,0.01266,19831.67732,3.62328794,-0.00799,-0.11919,-0.06092,0.38735,-0.00723,16069.808,12198055.5
1/1/2022,CHN,CNY,China,24.4,6.36535,3.833253474,-0.23943,-0.22636,-0.20415,0.13253,0,16462.79832,3.552125406,-0.00077,-0.11278,-0.05409,0.39745,0,12358.797,79700.849
1/1/2022,COL,COP,Colombia,12950,3941.995,3.285138616,-0.34819,-0.33698,-0.31794,-0.02941,-0.14299,8970.841848,3.393869023,-0.10372,-0.20419,-0.15154,0.25347,-0.10303,6156.137,23050079.75
1/1/2022,CRI,CRC,Costa Rica,2650,642.585,4.123968035,-0.18175,-0.16769,-0.14379,0.21842,0.07584,14651.59471,3.513866437,0.08672,-0.0351,0.02873,0.5198,0.08755,12408.353,7703715.473
1/1/2022,CZE,CZK,Czech Republic,89,21.6802,4.105128181,-0.18549,-0.17149,-0.1477,0.21285,0.07093,32422.17027,3.889243287,-0.02265,-0.13221,-0.0748,0.36684,-0.0219,26410.645,572534.356
1/1/2022,DNK,DKK,Denmark,32,6.6373,4.821237551,-0.04341,-0.02696,0.00098,0.42443,0.25774,67095.42698,4.621664014,-0.03407,-0.14234,-0.08561,0.35088,-0.03332,67758.08,426002.711
1/1/2022,EGY,EGP,Egypt,42.5,15.71,2.705283259,-0.46324,-0.45401,-0.43833,-0.20073,-0.29426,7328.265662,3.359172056,-0.25429,-0.33788,-0.29408,0.04289,-0.25372,3925.834,61795.891
1/1/2022,EUZ,EUR,Euro area,4.42,0.89206066,4.954820001,-0.0169,0,0.02871,0.4639,0.29259,41150.8436,4.073623465,0.12625,0,0.06615,0.57508,0.12711,42707.30029,36088.63665
